,text,No_of_tags,Tag,Month,No_of_ans,vote_ans,qual_ans,has_accepted_ans,has_code_col,question_text_len,user_reputation,No_of_votes,quality,predicted_classlabel
2082," i am writing web-app using spring mvc. as a view i use jsp. i want to bind data from spring tags and params in controller method. f.e. i have a add user form:         and a controller:         what should i put instead of ??????? between the brackets? i would be overjoy if you give me detaile tutorial or plain documentation (not \"" http://docs.spring.io/ \"")  ",2,java-ee,10,2,1 1,100 64,1,1,363,143,0,58,1
2083, i'm dealing with a system that runs a java application per customer in its own jvm. we've got about a half dozen dedicated servers that are running close to 100 jvms total now and sets of custom scripts for managing these jvms. this setup is really showing its age at this point: managing that many jvms is becoming a monitoring/management nightmare and we are constantly dealing with heap sizing issues. we'd like to move to a more modern approach and just run a bunch of applications in a single app server per physical machine. however  keeping the applications separate does have distinct advantages in terms of isolation (e.g. out of memory errors only affect one customer). each customer's software stack has memory requirements that vary widely.    my question: is there a way to have the best of both worlds here and run multiple applications in one jvm (app server) and still maintain some level of isolation? or is it just a modern fact of life that you need to manage memory requirements of a set of applications these days? are there other solutions here besides an app server or java ee container (e.g. wildfly or spring) that i'm missing here? it seems like this system is a holdout from another era!   ,4,java-ee,10,3,1 1 1,96 100 75,1,0,1218,123,6,0,0
2084, suppose i have a jar file called 'util.jar'. this jar file contains mostly jpa entities and some ÌÄå¼til classes (no ejbs). how do i make this jar available to all wars deployed in wildfly (without placing the jar inside the war's web-inf/lib)?    i thied to create a module in wildfly:         and in my war manifest.mf file:         but i'm getting all sorts of erros  like these:         thank you.    marcos     update     it worked now. i added the following dependencies:       ,3,java-ee,9,2,1 0,100 25,1,1,482,153,2,45,0
2085, i'm using ejb to create scraping server. i have jta transaction timeout problem when i'm using timer server like this:         step 1 3 just take several milliseconds but step 2 takes 1 2 minuets!!! is there any way to have jta advantages and also do something about this issue?  ,5,java-ee,9,2,0 0,86 52,0,1,281,1095,0,57,1
2086, how do i configure a servlet to serve certain urls from local files? eg for css  images  javascript?  ,3,java-ee,9,3,0 0 0,80 29 0,0,0,103,653,0,52,1
2087," i wonder what happens with the injected ejb-proxy  when the sessionscoped cdi bean was passivated and then activated. is there a null ref? or is the ejb \""reinjected\""? thanks for clarification.  ",4,java-ee,9,2,1 1,52 75,1,0,197,480,0,85,1
2088, i am currently learning java ee. i use an oracle java ee 7 tutorial for that. according to this tutorial  section 34.1.4  they used some non-ejb helper classes for the tutorial example.  http://docs.oracle.com/javaee/7/tutorial/doc/ejb-basicexamples001.htm     i'm wondering in what cases i should make a class ejb  and in what cases i should use a usual helper class. i have read what the benefits of using ejb are. but are there cases when it's better to use pojos?  ,3,java-ee,9,2,4 1,86 94,1,0,470,697,1,67,1
2089," i am making a java servlet and am trying to make it display a preview of 3 different articles.  i want it to preview the first sentence of each article  but can't seem to get split to work properly since i am reading the articles in with tokenizer. so i have something like:         how do i make s2.nextelement print out only the first sentence instead of the whole article? i imagine i could do split with a delimiter of \"".\""  but can't get the code to work right. thanks.  ",2,java-ee,8,3,0 0 0,79 75 88,1,1,478,43,1,88,1
2090, today i have a problem with my existing sql statement. i want need to use it with tomee (tomcat+java ee) and written in criteria down.    i have these selects in my sql:         what i did? for the first 2 select was it no problem  but the last one  i don't know how i can realize it:         here is my zccoordinate model:       ,4,java-ee,8,2,0 0,100 100,1,1,331,10,0,100,1
2091," i am struggling with bean validation to validate a double attribute.    my application uses angularjs with java ee (jax-rs / jaxb) for the backend.    my class looks like:         if i either send to the server  the json representation of myclass as :         or         i end up with a validation constraint violation for value \""must not be null\"".    i would have liked a validation constraint for type formatting issue for the second json representation.    is there any way to do it beside client side validation?  ",3,java-ee,8,2,1 0,67 62,0,1,521,18,0,0,0
2092," i need understanding about the serlvet-api.jar which is needed to compile a servlet.    i am building a simple servlet  like this:         i know that we need servlet-api.jar file to compile this simple servlet  like this:         now my doubts starts here:      what is servlet-api.jar?   who provides this jar?   does each web-container provide this jar e.g.  tomcat  jboss  glassfish? and does each vendor provide the \""same name\"" to the jar that is needed to build this simple servlet.   when we download java ee   is this jar part of download? or do we get this file as part of web container?    consider this situation:    suppose we compile / build the simple servlet using tomcat (i.e tomcat's version of jar needed to build the servlet) and create a .war file. can we then deploy the war in some other vendor container?     ",4,java-ee,8,3,0 0 0,86 33 89,1,1,835,141,1,42,0
2093, i am getting this exception  when trying to  download a file          it is clear that file the exists. in addition to that  the same program works properly on my pc  but there is a problem with the server  which is unix    any ideas what might be causing this?  ,4,java-ee,8,4,0 0 0 0,74 61 0 44,0,1,264,99,0,44,0
2094, hi i am working on one web application and facing issue while invoking servelets mentioned in web.xml.    here is my web.xml         the issue is that when i m trying to run my application i want the authroization filter to run first and then the file servelet. right now what is happening is the reverse of what i want. i also tried using 0 for file servelet but that didnt helped.below mentioned is my filter class code.         below mentioned is my servlet partial code :         below present are the sysout logs i got in application logs. here i noticed one strange thing. first the call is going to file servlet  then authorization filter and then again to file servlet.       ,4,java-ee,8,2,1 0,40 27,1,1,685,29,2,27,0
2095, i am working on a javaee project. all/most classes i am working on reside on the data base. there fore all must support creating  editing and deleting a database entry.  i don't want to use any frameworks.i planed to execute the queries using the traditional prepared statements.    currently i implemented it as follows         now my question      i'm i doing it right?    if a class inherites form a class that implements this interface how should it handel the methods? should it override or call the super and add more code to handle more fields   should i create another utility class to send the queries or is it ok if i add the database actions in the same class?      appreciate in advance!  ,3,java-ee,8,4,3 2 1 1,88 0 95 90,1,1,702,140,0,89,1
2096, i am getting date in string as  . how do i convert it in      i have tried :         but getting      plz suggest.  ,2,java-ee,8,3,6 0 0,0 17 80,0,1,117,484,0,62,1
2097," i am new to java  i have tried to read a file and saved into hashmap. but it showing arrayindexbounds of exception.i dont know how to solve it.    here is my code          my input is:    Ì¢åÛåÏu1Ì¢åÛå    Ì¢åÛåÏu10Ì¢åÛå  Ì¢åÛåÏu2Ì¢åÛå    Ì¢åÛåÏu41Ì¢åÛå  Ì¢åÛåÏu3Ì¢åÛå    Ì¢åÛåÏu10Ì¢åÛå  Ì¢åÛåÏu4Ì¢åÛå    Ì¢åÛåÏu81Ì¢åÛå  Ì¢åÛåÏu5Ì¢åÛå    Ì¢åÛåÏu10Ì¢åÛå  Ì¢åÛåÏu6Ì¢åÛå    Ì¢åÛåÏu10Ì¢åÛå  Ì¢åÛåÏu7Ì¢åÛå    Ì¢åÛåÏu31Ì¢åÛå  Ì¢åÛåÏu8Ì¢åÛå    Ì¢åÛåÏu11Ì¢åÛå      output i got :    exception in thread \""main\"" java.lang.arrayindexoutofboundsexception: 1     at excer4.main(excer4.java:15)    can any one help me to find a solution..  ",2,java-ee,8,4,1 1 0 0,0 98 86 0,0,1,484,37,0,25,0
2098, i have a single business interface that is implemented by multiple stateless beans. each implementation has a annotation at class level with a unique value. i use cdi injection as          i want to look up a specific implemenattion based a value (which matches the annotation value). ow since all implementations are ejbs i get an ejb proxy and unable to parse annotation. please suggest a way to parse the annotation meta data from the proxy.    also what are the other ways to get the ejb other than jndi look up in above scenario?  ,4,java-ee,8,2,1 1,92 94,1,1,537,2086,2,92,1
2099, what does someone mean when i am asked that whether my web application is thread safe or not   considering that i have not used multiple threads in my webapplication.  ,3,java-ee,7,3,6 1 1,79 83 80,1,0,169,784,2,88,1
2100, i have 2 stateless ejbs statelessa and statelessb  both of them have interceptors interceptora and interceptorb respectively. also  statelessb has asynchronous methods. something like this:         when calling a method on statelessa  it calls several statelessb methods and returns a value. i am trying to develop 2 interceptors to store the total time and the subtotal times of statelessb calls  this is the objective of the interceptors.    i need to do it so interceptora can see the detail of interceptorb data  so i store only a value in the db  containing the total time (of slsb a) and the subtotal times (of slsb b).    i tried using a threadlocal variable (containing a list of times  something like long[])  which works fine if statelessb is not asyncrhonous. the problem is that when it is asynchronous  the variable is not available  since it is running in a different thread (afaik).    i also tried injecting ejbcontext or using the invocationcontext  but none of them works.    can someone point me out what other alternatives do i have? thanks in advance.  ,4,java-ee,7,3,0 0 0,0 80 80,0,1,1075,308,0,80,1
2101, assume that we got an remote ejb which provides a asynchronous method with exception         now the client side:         i know that the exception can be retrieved of the future object when it is returned.     my question is if there is a better implementation without that useless empty catch block which will not be called anyway.  ,4,java-ee,7,2,0 0,88 89,0,1,336,38,0,0,0
2102," i want to create a unique number of \""long\"" type using java. i have seen few examples but they were using timestamp  without using timestamp can i create a unique number of wrapper object \""long\"" .please suggest.    please suggest.thanks.  ",2,java-ee,7,7,1 1 0 0 0 0 0,72 72 0 68 40 0 0,0,0,243,77,0,24,0
2103, studied in java that if a class have private constructor it cannot be inherited as    cannot be called than why this code compiles  in case of inner class:       ,2,java-ee,6,3,2 2 0,100 0 97,0,1,163,16,0,11,0
2104, not sure about the title  but here goes:    i have a class that are going to be extended  like:         as you can see. methodthatdoesstuff uses aa  but when b is called  i want it to use bb instead.    the reason to this is that aa have some variables that are common for all the classes. but some differ. the innerclasses are jsonobjects that have @expose variables  setters and getters.    how do i specify in the super class  which class to use?  ,2,java-ee,6,2,0 0,79 86,0,1,452,107,0,56,1
2105, if jpa does not depend on ejb and it has its own spec. why do i need ejb ? what i cannot without ejb ?    i have read the following discussions but i really do not point out why it is still required ?     why should we use ejb?       why ejb is used in enterprise applications   ,4,java-ee,6,3,2 2 1,86 0 67,1,0,280,1864,1,81,1
2106, i have already implemented the   pattern using the spring framework. in spring there are   and   annotations in the controller class and  this framework doesn't use any  .     i want this exact structure in java ee (but without using any other framework).    so my question is: how can i use mvc in java ee without using other frameworks? ote: i don't want to use   class  ,3,java-ee,6,4,2 1 1 1,56 0 100 100,1,1,374,657,1,72,1
2107, i am getting sonar vilation performance - huge string constants is duplicated across multiple class files.     what is the reason i am getting this? how to resolve this?    this is the code       ,3,java-ee,6,4,1 1 1 1,44 86 0 0,0,1,197,54,0,44,0
2108, can any please tell me that how we can invalidate a session of a user when user is no longer active on a web application for more than 15 minutes in java?   ,4,java-ee,6,4,8 6 4 4,33 40 74 50,0,0,158,112,1,14,0
2109, what's the purpose of   annotation in java ee?    i saw the documentation  but could not get much from it. can someone point out with the help of an clear example.  ,3,java-ee,6,2,1 0,73 88,1,1,166,135,0,91,1
2110, i'm new to jsf2. using jpa  i have a bidirectional onetomany relationship between  say  dishes and ingredients.    the application has a view allowing to add a dish with at least one ingredient where the user can add additional ingredients via javascript  which is basically just copying the html element representing an ingredient.    a screenshot to make it more clear what i mean - initially there is only one ingredient but the user can add/remove one ingredient at a time by clicking on the respective button:         the initial ingredient i just create upfront in @postconstruct in the backing bean:         submitting the dish with the initial ingredient works fine  it is properly persisted to the database.    but now i am wondering how i can know how many ingredients are actually in the form submitted by the user and where would i then create the appropriate number of ingredient instances and add them to the dish instance?  ,4,java-ee,6,2,1 0,82 75,1,1,940,1047,0,75,1
2111, i  have a requirement to use property files to have some important information which should not be revealed to anyone.    my question is : regarding security concern  is using a property file a safe option or not ?     ,3,java-ee,6,3,2 0 0,97 75 0,1,0,220,784,0,88,1
2112, context    i'm in the process of drawing a solution to migrate a huge pl/sql system to java. the initial step is migrating some etl jobs that:      reads csv  xml  (xls  which is a new requirement) and positional files from several ftp / sftp sources   process the files according to rules stored in the database and write the results to a database table.      currently this is done by several store procedures and jobs.    my company is open to suggestions (if it can run in glassfish 4 and share its logging and connection pool mechanisms  as well as the admin console  it is a plus).    i've done a little bit of research and the following options caught my eye:       java ee 7 batch processing   sounds simple and particularly well fitted for glassfish 4.    spring batch  somewhat more mature and very similar to the java ee 7 standard (which was probably based on it).    apache camel   sounds powerful and would spare us from a lot of fiddling with libraries such a apache poi  but it also looks somewhat complex. also i'm not sure if it is the best fit for the job (etl over huge files).   cook everything by myself. i could create a application client to run a quartz / spring scheduler or even ejb timers      while i'm still open to suggestions (recommendations would be nice)  the best fit so far seems to be java ee 7 batch processing.    one more thing  the infrastructure team have a solution to move files from every ftp source to a local directory  so ftp is really not an issue.    problem    i've read several tutorials about java ee batch processing and  in all of them  some kind of   or   timer is responsible for starting the jobs:         i could easily upload a web / ejb project and keep pooling for changes. but i was thinking about a push model:       application client  console application   main class  watches directories  for new files   when there is a new file it would start a new job.      my doubts are:      is this strategy possible/ advisable?   will i need a jms queue or some kind of producer / consumer strategy in the middle or should i just call   for every file and trust the batch processing layer to manage the application resources? in other words  if a thousand files are delivery to my folder at once and i call   a thousand times  will glassfish 4 do some kind of smart enqueuing or should i create some kind of gate so that no more than   jobs run simultaneously?    ,5,java-ee,6,2,1 1,75 86,1,1,2424,11465,1,97,1
2113, i've an  ejb  as follows:            how can i inject that bean by using the  arg-constructor  into another   class?     then  i define the   class as ejb  with the aim to perform the  di  for it into another class (for instance  a webservlet). how can i inject a   class instance by passing a   to properly set up   arg-constructor as  inner-dependency ?     is there a better way to define   in order to achieve points above?       ,4,java-ee,6,2,0 0,100 68,1,1,435,1082,0,65,1
2114, i am using request dispatcher and it is throwing null pointer exception. i don't know why this is happening because i do have map.jsp in root directory. here's the code    locationtrackerservlet.class              tomcat error    ,4,java-ee,6,4,1 1 0 -1,20 0 62 0,1,1,231,121,0,64,1
2115," i am developing a web application into gwt and i am using the object datepicker. this object retrieves the date in a defined format which i am translating into a string such as:         for me it is useful to use this date as string for some operations. however  for one of them i need the timestamp object. for that reason  i am making use of the simpledateformat object in the following way:         yet  when i run the remote debug i get a parseexception. do you know what could the mistake be? i think i am using in a bad format the simpledateformat object in the part \""e mmm\""  but i am not sure. thanks a lot in advance!  ",3,java-ee,5,4,1 0 0 0,79 100 0 86,1,1,630,499,0,86,1
2116, in our existing application properties file is embedded in a jar file  we decided to move properties file outside of ear(application)   what is the best place to put properties file in ibm websphere 8.5 ? so that i can retrieve path with was environment variables and file should be available to all nodes in a cluster ..   ,5,java-ee,5,6,4 2 1 0 0 0,0 92 0 96 0 50,1,0,325,3099,3,72,1
2117, my code is unable to do lookup a jdbc resource using jndi. i am getting the following exception:    [root exception is javax.naming.namenotfoundexception: context: ppp-14415node01cell/nodes/ppp-14415node01/servers/server1   name: jdbc/admincob: first component in name admincob not found . [root exception is org.omg.cosnaming.namingcontextpackage.notfound: idl:omg.org/cosnaming/namingcontext/notfound:1.0]]    i have followed these 2 solution on so  but still its not working     websphere 6.1 to 7 how to update ibm-web-bnd.xmi to ibm-web-bnd.xml      how do i connect to a websphere datasource with a given jndi name?     here is my ibm-web-bnd.xml         and portion of web.xml         here is the screenshot of the binding:      lookup code:         i am not sure what am i missing. please help.         ,5,java-ee,5,4,1 0 0 -1,92 0 0 96,1,1,812,188,0,53,1
2118, i have a class myclass that implements an interface totest  that i want to retrieve through a classloader in my web app running on tomcat.    the class is below:         and the interface is         when i instantiate a normal instance of the class  it works correctly (i.e. appears to be an instance of totest)  however  when i use my class loader  the object does not resolve as an instance of totest.    i.e.         will print out the message  whereas:         returns an object that appears to be a myclass object  but the 'if instanceof' returns false.    any ideas?    thanks  ,4,java-ee,5,2,2 1,82 77,1,1,585,88,1,0,0
2119, i have a doubt regarding how design my aplication to three layers (presentation  domain and dao)    i need keep in ram memory the result of a dao function (a list of objects) to avoid having to use again the persistent memory.    dao function returns a   and domain layer transform it into following structure:         my application uses this structure in various user use cases and for each of them shows a small result by screen.    i don't want return the   object to presentation layer because it doesn't need much data (only a small result of these operations).    how i keep in domain layer this information to be used when presentation do the calls? is a good technique use static attributes. how affects it in the performance/memory? taking account the programming paradigm with layers  is correct to use the domain layer to save the temporal information of different use cases?  ,4,java-ee,5,2,0 0,89 88,0,1,890,153,1,8,0
2120, i'm working on a project where i'm trying to connect to glassfish ejb but i have a problem.    when doing the following:         i get this exception:         after that i tried adding the following props as well:         and then i get another exception instead:         so how do i lookup my ejb?  ,4,java-ee,5,2,0 0,78 62,1,1,301,17,0,62,1
2121, let's say i have one stateful session bean deployed in my application. in my client application i try to use this session bean with the help of jndi. after i have got the stub of the bean (not the actual bean itself) and initialized some fields of that bean  i try to get this bean a second time using jndi.     so what bean i will get from app server? will it be the same bean twice or i will i work with a second instance of the bean? if i will get the same bean twice  how can i get two different instances of the same bean from app server? i am just confused what the bean itself is. if possible provide some resources.   ,5,java-ee,5,2,2 1,92 84,0,0,627,229,1,71,1
2122, my question is that whats the best way to keep track of the exceptions for the administrator of the application. (notify administrator of the thrown exceptions for  maintenance purposes).     to users of the system   i believe should catch the exceptions and show an appropriate error message.  to admin of the system   i suppose  best method is to have a messaging system to send details of each exception as a message to the receiver. once receiver received a new error message persists it in the database or pings the admin an email with details of the exception.       ,5,java-ee,5,9,9 8 5 3 2 2 1 1 0,100 81 61 57 29 0 78 0 0,0,1,574,57,8,40,0
2123, i write a web application i have to do signin in that using the windows username.. i tried to get username using system.get property() but its giving the username of server windows name only.but i want to the username of client system..can any one help me?  ,2,java-ee,5,3,1 0 -1,0 100 60,0,0,259,38,0,0,0
2124, i created a horizontal split pane then i created a vertical one.    how to load an anchorpane in the second split pane?  ,2,javafx,12,2,0 0,75 88,0,0,122,10,0,88,1
2125, i wan't to use keyword   in refer to my main class in the   block  say:         but in this case i've got an warning about that i haven't declare a constructor for the   class with   parameter in it. what can i do in such situation?  ,3,javafx,11,3,4 2 2,0 87 100,1,1,235,456,0,74,1
2126, i would like to check my inputted string on a comma  which is pretty easy ( just used this:  how can i check if a single character appears in a string? ). now i want to check if a character is present more than once. (in this case a comma (/u002c)) i have created this code:         this gives a stackoverflow error  because it seems it can not get out of the loop. can anyone explain why it can't?    note: i know there are maybe more ways to check for more than one character  but i am just curious why this gives me an error.    any help is greatly appreciated!  ,4,javafx,10,3,2 1 1,0 82 80,1,1,567,183,0,86,1
2127, i've used javafx's scenebuilder to create a tableview. let's say there a 10 columns. some of those columns will probably not be relevant to most users so  i would like to hide them at start-up. the user could reveal the other columns as needed. what code can i put in the fxmlcontroller that would  hide those columns at start-up? if they were hidden at start-up would they still be visible in the tablemenubutton?    (i am using javafx 8)  ,4,javafx,10,2,0 0,53 53,1,0,442,154,0,53,1
2128," i want to make a full-screen application with javafx .. i used   every time i change the scene like this         the problem is while transition the full screen appears to be turned off then back on instantly and the \""press esc ... \"" sign appears every single scene     is there a solution for this ?!  ",4,javafx,9,2,1 0,86 65,1,1,306,86,1,65,1
2129," i'd like to have a combobox with following options:    (combobox employment:) - education - automotive - (...) - other   &lt;-- editable    if user selects \""other\""  he could edit the item in the combobox but all the other options would be non-editable. is that possible or should i just display additional textfield when user selects \""other\""?  ",2,javafx,9,2,0 0,50 50,0,0,349,6,0,0,0
2130, i have a javafx.scene.control.datepicker. i want to extract the (locale) week number from the selected date. until now i haven't found a solution and i prefer not to write my own algorithm. i use java8 and hope it is possible in the new java time library.  ,4,javafx,9,4,3 2 2 -2,0 0 53 75,1,0,258,15,2,0,0
2131," i would like to use javafx for my game's start screen.    however  for some reason  the import \""javafx\"" does not seem to be recognized.         at first  i (for some weird reason) thought i needed e(fx)clipse  however i successfully installed that and it does not fix the issue. i have found nothing else on the internet that fixes the issue.    do i need to import javafx as a library or something? and if so  where?    thanks!  ",2,javafx,9,2,2 1,90 60,1,0,433,186,0,88,1
2132, i'm working with the vlcj bindings and have finally been able to get several roadblocks. now i am here. i have no need (at this time)  nor desire for  a visible media player component (the embeddedmediaplayercomponent). all i need (for now) is to play audio files. i have the following method in place to handle that for me:         but i keep getting this exception:         which i understand. it makes sense. but i don't need it visible. i just need the sound. how can i make that happen?  ,5,javafx,9,2,2 0,87 59,1,1,494,322,1,59,1
2133, i was wondering if there is a way to make javafx desktop platform independent application window open on currently active screen  while working on a sample javafx application from tutorial.    i am using two monitor system and it would be great if there is a way to make the tool open on the active screen instead of the primary screen each time.    so far i was able to learn setting custom xy location on screen to open the application window but this uses the primary desktop monitor.    more or less looking for centering the window on the screen where mouse cursor is present the moment application starts.     update:     it is something that can be achieved in windows forms c# by setting form.startposition property. basically telling the application to start from or open on the desktop screen on which the user is currently working or looking at.  ,2,javafx,9,3,1 1 1,60 0 59,1,0,859,588,0,59,1
2134, i am teaching my self java(fx) in order to create some applications for my small business.    however i am stuck with the problem below. the actual program is much larger and complicated so i created a new  smaller and easier on the eye class to get some help for something that has me stumped for more than a week    the code below creates 3 instances of a label with different ids (in case it can help). is there any way to change the text of (let's say) label 2 to something else by pressing the button?    this is really my last hope to find a solution.         }  ,4,javafx,8,3,2 1 1,76 96 0,1,1,570,5,0,0,0
2135, i am having a problem getting my code that reads from a .txt file to to check correctly. i can change the code to have it print the string out. but i cannot get it to check the string against the current info being entered. i get the error message i have coded  which pops up 3 times. my user.txt file is taking the username:password info in like this cplank000:tech8120 here is the code         ,3,javafx,7,3,3 0 0,43 0 85,1,1,397,35,0,93,1
2136, i've a accordion with having multiple titledpane and there has a lots of data within titledpane's listview panel. i just want to expand all the titledpane of accordion when searching the data. i don't know how to do this. any idea?    here  i've attached my real project's screen shots and it shows actually what i want to do.       ,4,javafx,7,2,3 1,75 68,0,0,334,35,1,67,1
2137, i'm looking for a method to make some lines of text auto-scroll continuous loop with javafx.  this is very similar to the  credits-like scrolling  in these questions below. it is a workstation screen  not a mobile.  the text is kind of fixed  not from a feed  so i want it to circulate...       javafx auto-scroll auto-update text     creating smooth credits-like scrolling in scrollview     how to implement scroller in textview for auto scrolling?       a simple use case: you have 30 lines of text  but only 12 lines can be visible at any time.  so i want to scroll the text up the screen with a bit of a break a the bottom  then the text wraps around and keeps scrolling.    i thought i could just add text at the bottom and take it away from the top  it turns out to not be the same.  the visual effect of using a scrolling up... is literally the important part of the specification.  so i'm back to the beginning.    some things i would prefer is to not need to destroy the text or re-load.  prefer to point to the current top-of-textbox or something so it wraps around.  otherwise it is like before  and i need to remove text from top and put text in at the bottom.  need javafx  can't use javascript for app.  what's your best shot?   thanks  in advance.   ,4,javafx,6,2,0 0,50 50,0,0,1266,642,0,28,0
2138, is there a changeable   in javafx? i need a   supprting   and   methods  but i couldnt't find one.   will throw  .    all i found is to use the initializer to set the contents  but that's not what i need. i need to start with an empty property end buld from there.    i cannot believe there's no such a thing; i must be blind  somehow. can someone point me in the right direction  please?  ,4,javafx,6,2,3 0,77 93,1,1,391,354,0,93,1
2139, is this possible to load a new fxml file into a scrollpane     for more detail view this image      click here to view image     please help me..  ,2,javafx,6,2,0 0,57 57,1,0,148,1,0,0,0
2140, i would like to add more javafx objects to my scene but i am not sure how. i have tried looking it up but i could not find anything.         for example how would i add a polygon to this?  ,4,javafx,5,2,1-Feb,50 78,1,1,190,311,1,100,1
2141, i am trying to get a   from my application like this:         but i am getting this error:        incompatible types: node cannot be converted to tab      both of these work:         it works with all other types of components  why isn't it working with  ?  ,2,javafx,5,2,2 1,78 25,1,1,259,3825,1,78,1
2142, i am having a weird issue with javafx. i designed a simple   in scenebuilder. the text looks ok in a preview  but in the running the app the text looks blurred  consider the following image.   here is the  :         and here is the   class code:         can anyone help solving this problem?     update  i have tried to run the app using jdk 7  this way the text is not blurred anymore  but how can i run it with jdk 8 showing a normal text     update 2  i have put my project on git  if anyone tries to see the code or checkout to your machine  you can see this on your own         https://mateusviccari@bitbucket.org/mateusviccari/testejavafx.git     ,2,javafx,5,3,0 0 0,73 50 0,0,1,654,647,3,54,1
2143, is it possible to add action listeners to the indiviadual elements in a tile or flow pane?    for example  in the example below  if a user clicked on an image  the the system would print out the location/ file path.    thank you all.       ,4,javafx,5,2,1 1,60 73,1,1,241,7,0,75,1
2144, i have a javafx application that use external library in folder lib . if the library is not exist it will cause javafx launcher error : exception while running application and program is closed. i want to give message on my own that the library is missing  before program closed. how to give that message before the program closed ?  ,2,javafx,5,2,0 0,50 80,0,0,335,21,0,0,0
2145, i read about the advantages of javafx over swing(that is not the point of discussion) and i would like to learn javafx. but later i got confused between the javafx script and other things like xml  etc...  i don't have a clear picture of it yet. i want to know what all things like basic information and programming/markup languages one must know before giving a try at javafx.  ,2,javafx,5,2,10 0,50 78,0,0,380,0,0,0,0
2146, i am having htmleditor  in that htmleditor by default i am getting   text. so when ever i am finding length in editor    minimum i am getting 62. but how to know whether htmleditor is empty or not  ,3,javafx,5,2,0 0,80 73,0,1,199,5,0,43,0
2147, i know that this is a simple question but there is no better place to ask than stack overflow. i have been developing a java desktop application which connects to a remote database and uses a lot of jtables and also jasper reports. i am up to the point when i have to start thinking about the user interface and it has come to my attention that i can use javafx for that. based on some research that i have been doing  it seems that javafx offers superior user interface than swing. my question is  is javafx suitable for my application? can i use it when my application uses a lot of database queries  tables and jasper reports? or should i stick with swing? if i should go with javafx  where do i start with regards to building an app which utilises javafx for the interface and java for the behind the scenes code (books  websites)?thanks.  ,2,javafx,4,3,1 0 0,55 91 0,1,0,845,163,1,79,1
2148, in javafx8 i want to know how it's possible to don't add a tabulation in a textarea when you press tab and go the the next field like textfield do.    in javafx2 i resolve this problem with the following code          }    but in javafx8 there is no getbehavior() method on the skinbase. so i don't know what to do. someone get the solution ?  ,4,javafx,4,2,1-Jan,73 80,1,1,345,1126,0,80,1
2149, i'm currently trying to add some images from a decoded video to a tableview row and they are not appearing. only empty tablecolumns. the tableview has been designed in javafx scene builder along with the label.    here's what i got so far:          i've been struggling understanding how the tableview works the last couple of days and it would be a real breakthrough if we could get to the bottom of this.     thanks for reading and any help in advance!   ,4,javafx,4,2,0 0,60 100,1,1,458,12,0,100,1
2150, the (scala) code below produces a wrong result (namely  ).     why ?     how can it be fixed ?    according to the  javadoc  this code should print   for the   and   coordinates of  .         prints:         edit :     the accepted answer solves the problem  however  according to  this  blog entry my solution should work too  the question remains:  why does the above code not work ?      what is the difference between the two coordinates (getcenter vs localtoscene) ?    what is localtoscene used for at all ?    i googled for this and found very few info on this.     javafx books also don't explain this.  ,2,javafx,4,2,1 0,50 89,1,1,613,2210,0,89,1
2151, i have developed a chat application in java and java ee and javafx in which more than one user can login and can chat more than people. ow want to save the chat conversation of each user so that next time when they login they can see previous chat. where should i save the conversation xml file or database? and why? i want to save conversation on client side.  ,3,javafx,4,2,1 0,20 40,0,0,363,314,0,39,0
2152, how can i add an action listener so that when an appointment on an agenda is clicked a new window with more details on that particular clicked appointment opens.  ,4,javafx,3,2,1 1,83 90,1,0,164,78,0,90,1
2153, to statically set a window minimum size to a   pixels frame in javafx 2.2 one would use:         supposing we don't want to set a fixed minimum size  but we want the window to be resized to a minimum size that all its content (buttons  text fields  etc.) is still fully visible. how would we do that?  ,2,javafx,3,2,1 1,88 73,0,1,303,751,4,67,1
2154," i'm writing a simple game and trying to play sounds but i can't get it to work when i create the media object it throws  . i'm not much of a java coder and any help will be appreciated. here is a sample code:         obviously \""put.mp3\"" exists and located in the correct directory  i checked the path using:      what am i doing wrong here?  ",4,javafx,3,2,4 0,50 90,1,1,345,367,0,90,1
2155, i need to get the last selected item of a listview which is in multipleselectionmode in javafx. my code is below but it does not give me the last selected item. it seems to give a random item from the selected items.       ,2,javafx,3,2,2 1,91 25,0,1,224,73,1,25,0
2156, i'm using install4j to create a installer of a javafx application for osx and it must include a bundle jre ( ). i need to move the file   to   to force java to load the javafx libs.    is there a way to do this?     update:     i've forget to add a little info about the bundle  the file jfxrt.jar is inside the bundle.  ,3,javafx,3,2,1 0,62 94,0,1,322,6,1,0,0
2157, i want to create a popup windows in javafx application.give me some idea.       when i click on check button open popup windows. how to do?  ,5,javafx,3,4,6 1 0 0,50 0 0 38,0,0,142,136,2,12,0
2158, i have been wondering that why was javafx menuitems designed to do the designated action on a right click? usually a menu item in any windows application is supposed to act on a left click of a mouse but in javafx it seen that both clicks act equally.     on another thought  is there a way to block a right click on menuitems? i tried the following code  but it fails.    it looks like the event handler does not get registered at all.       ,4,javafx,2,2,3 1,50 67,1,1,444,646,0,57,1
